POINT (-58.389208986459941 -34.588678260313912);18;2;Comafi;Banco;Capital federal;Av. Quintana 439;RECOLETA;2;Visual y Audio;4804-1099;;QUINTANA
POINT (-58.392886110055102 -34.594058944681407);19;2;Comafi;Banco;Capital federal;Av. Callao 1279;RECOLETA;2;Visual
POINT (-58.405856072761772 -34.593009061664631);20;2;Comafi;Banco;Capital federal;Av. Santa Fe 2762;RECOLETA;2;Visual
POINT (-58.399454608826559 -34.59502006258144);33;3;ICBC;Banco;Barrio Norte;Av. Santa Fe 2265;RECOLETA;2;Visual y Audio;;;SANTA FE AV. 2265;2265 SANTA FE AV.
POINT (-58.390177040610133 -34.590480528202633);38;3;ICBC;Banco;Recoleta;Av. Callao 1661;RECOLETA;2;Visual y Audio;;;CALLAO AV. 1661;1661 CALLAO AV.
POINT (-58.387768278573908 -34.595926697663842);50;4;Santander Rio;Banco;Capital federal;Av. Santa Fe 1450;RECOLETA;2;Visual y Audio;;;SANTA FE AV. 1450;1450 SANTA FE AV.
POINT (-58.408518475979065 -34.590104753416668);51;4;Santander Rio;Banco;Capital federal;Av. Santa Fe 3077;RECOLETA;2;Visual y Audio;;;SANTA FE AV. 3077;3077 SANTA FE AV.
POINT (-58.408949746490507 -34.58974067496581);80;5;HSBC;Banco;Capital federal;Av. Santa Fe 3117;RECOLETA;2;Visual y Audio;;;SANTA FE AV. 3117;3117 SANTA FE AV.
POINT (-58.408517873629712 -34.590621332863371);98;7;Banco Patagonia;Banco;CABA;Av. Santa Fe 3060;RECOLETA;2;Visual y Audio;;;SANTA FE AV. 3060;3060 SANTA FE AV.
POINT (-58.367736565640215 -34.59781395767817);87;5;HSBC;Banco;Capital federal;Av. Antartida Argentina 821;RETIRO;1;Visual y Audio;;;;
POINT (-58.373395397794745 -34.593344266360361);89;5;HSBC;Banco;Capital federal;San Martín 1225;RETIRO;1;Visual y Audio;;;SAN MARTIN 1225;1225 SAN MARTIN
POINT (-58.373395397794745 -34.593344266360361);90;5;HSBC;Banco;Capital federal;San Martín 1225;RETIRO;1;Visual y Audio;;;SAN MARTIN 1225;1225 SAN MARTIN
POINT (-58.377942331205496 -34.595232550112243);1;1;Macro;Banco;Plaza San Martín;Av. Santa Fe  784;RETIRO;1;Visual
POINT (-58.38570836846246 -34.591456464274337);2;1;Macro;Banco;Quintana;Av. Quintana 99;RETIRO;1;Visual y Audio;;Ingreso a nivel;QUINTANA
POINT (-58.385522126569214 -34.595846577398241);4;1;Macro;Banco;Av. Santa Fe;Av. Santa Fe 1288;RETIRO;1;Visual y Audio;;Ingreso a nivel;SANTA FE AV. 1288;1288 SANTA FE AV.
POINT (-58.376389981975336 -34.59859589921227);17;2;Comafi;Banco;Capital federal;Av. Cordoba 669;RETIRO;1;Visual y Audio;;;CORDOBA AV. 669;669 CORDOBA AV.
POINT (-58.386908681693036 -34.595985887420987);40;3;ICBC;Banco;Retiro;Uruguay 1081;RETIRO;1;Visual y Audio;;;URUGUAY 1081;1081 URUGUAY
POINT (-58.380886934912319 -34.595491623513347);41;3;ICBC;Banco;Retiro;Av. Santa Fe 964;RETIRO;1;Visual y Audio;;;SANTA FE AV. 964;964 SANTA FE AV.
POINT (-58.375882103162269 -34.598560350199783);44;3;ICBC;Banco;Retiro;Av. Cordoba 633;RETIRO;1;Visual y Audio;;;CORDOBA AV. 633;633 CORDOBA AV.
POINT (-58.372985310682019 -34.595606152300256);76;5;HSBC;Banco;Capital federal;Reconquista 1047;RETIRO;1;Visual y Audio;;;RECONQUISTA 1047;1047 RECONQUISTA
POINT (-58.377181487075731 -34.597781813504426);79;5;HSBC;Banco;Capital federal;Paraguay 720;RETIRO;1;Visual y Audio;;;PARAGUAY 720;720 PARAGUAY
POINT (-58.383491392245503 -34.588173421625889);88;5;HSBC;Banco;Capital federal;Av. Del Libertador 750;RETIRO;1;Visual y Audio;;;DEL LIBERTADOR AV. 750;750 DEL LIBERTADOR AV.
POINT (-58.372799723651376 -34.595486370679268);114;7;Banco Patagonia;Banco;CABA;Av. Leandro Alem 1064;RETIRO;1;Visual y Audio;;;ALEM
POINT (-58.375195119988703 -34.596281368465732);116;7;Banco Patagonia;Banco;CABA;Florida 999;RETIRO;1;Visual y Audio;;;FLORIDA 999;999 FLORIDA
POINT (-58.464062278693405 -34.540708489873232);104;7;Banco Patagonia;Banco;CABA;Av. Libertador 8108;NUÑEZ;13;Visual y Audio;;;DEL LIBERTADOR AV. 8108;8108 DEL LIBERTADOR AV.
